API_Name,Provider,Host,Status,Free_Tier,Free_Limit,Pro_Price,Pro_Limit,Ultra_Price,Ultra_Limit,Mega_Price,Mega_Limit,Has_Profile,Has_Search,Has_Following,Has_Followers,Has_Posts,Has_Stories,Has_Reels,Endpoint_Count,Rating,Popularity,Description,Best_For,Notes
"instagram-scraper-api2","social-api1-instagram","instagram-scraper-api2.p.rapidapi.com","ACTIVE","Yes","~50 req/day","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Yes","Yes (/v1/search_users)","Yes (/v1/following)","Yes (/v1/followers)","Yes (/v1/posts)","Yes","Yes","15+","High","Very High - top result","Most stable IG API, founded 2016. PHP SDK on GitHub.","Full discovery pipeline","YOUR CURRENT API. Has all endpoints needed. May have been removed - user got NOT_FOUND."
"Instagram Best Experience","ponds4552","instagram-best-experience.p.rapidapi.com","ACTIVE","Yes","Custom","Custom (Telegram)","Custom","Custom","Custom","Custom","Custom","Yes","Yes","Yes","Yes","Yes","Yes","Yes","20+","99.99% uptime","2.5M users / 1M req/day","Best performance IG proxy. No cache - actual data. Multiple data centers.","High-volume production","Contact @chilledlobster on Telegram for plans"
"instagram28 (IG)","yuananf","instagram28.p.rapidapi.com","ACTIVE","Yes","10 req/day","$5/mo","200 req/day","$10/mo","500 req/day","$100/mo","6000 req/day","Yes (UserInfo)","Yes (Search)","Yes (Following + SearchFollowing)","Yes (Followers + SearchFollowers)","Yes (Medias)","Yes (GetUserStories)","Yes (user_reels)","24","2.6/5 (67 votes)","9.9/10 popularity / 8770 subs","Full IG API with search, following, followers, stories, reels, highlights.","BEST VALUE - all endpoints at $10/mo","Cheapest confirmed API with ALL required endpoints"
"instagram-scraper-2022","arraybobo","instagram-scraper-2022.p.rapidapi.com","ACTIVE","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Yes","Yes","Yes","Yes","Yes","Yes","Unknown","15+","99.97% uptime","Moderate","Get info consistently and quickly. Telegram @api_profi.","Budget full-featured","Has all key endpoints. Check current pricing."
"instagram-scraper2","JoTucker","instagram-scraper2.p.rapidapi.com","ACTIVE","Yes","Unknown","Custom (Telegram)","Custom","Custom","Custom","Custom","Custom","Yes (with phone/email)","Yes","Yes (search followings)","Yes (search followers)","Yes","Yes","Unknown","15+","Unknown","Moderate","Full scraper with followers/following search, stories, hashtags.","Full discovery + contact info","Contact @JoTucker2022 on Telegram for pricing"
"instagram-data1","logicbuilder","instagram-data1.p.rapidapi.com","ACTIVE","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Yes","Yes","Yes","Yes","Yes (feed)","Yes","Unknown","15+","Unknown","Moderate","Real-time data, no caching. User info/search/feed/hashtag/location/comments/likers.","Comprehensive data + location search","Also runs InstagAPI. Has music/broadcast/location endpoints."
"instagram-profile1","fariswdcash","instagram-profile1.p.rapidapi.com","ACTIVE","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Yes (photo/name/email/bio)","Unknown","Yes (list + pagination)","Yes (list + pagination)","Yes (with likes/comments/views)","Yes","Unknown","10+","Unknown","Moderate","Profile-focused: picture, name, email, bio, followers/following lists with pagination.","Profile + follower/following lists","Good pagination support for following/follower lists"
"instagram-scraper-stable-api","thetechguy32744","instagram-scraper-stable-api.p.rapidapi.com","ACTIVE","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Yes","Unknown","Yes","Yes","Yes","Yes","Unknown","10+","Stable","Moderate-High","Stable, fast & cheapest. Scrape emails, stories, followers, media.","Stable + email scraping","Emphasizes stability. Also has Threads scraper."
"Instagram 2024 New","tamtamchan","instagram-2024-new.p.rapidapi.com","ACTIVE","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Yes","Unknown","Unknown","Unknown","Yes","Yes","Unknown","Unknown","0.X% error rate","High - 12 yrs operation","Fastest essential IG endpoints. 12 years non-stop. 100% satisfaction.","Reliability","Longest running service"
"instagram-api-cheap-best-performance","best-solutions","instagram-api-cheap-best-performance.p.rapidapi.com","ACTIVE","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Yes","Unknown","Yes","Yes","Yes","Yes","Unknown","10+","<0.001% fail","Popular budget","Budget-friendly. <0.001% failures, 99.99% uptime, multiple servers.","Budget production","Multiple data centers"
